epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,931.961,0.64197,0.36603,0.80982,0.99403,1,0.995,0.86397,0.53467,0.39759,0.83398,0.003763,0.003763,0.003763
128,939.839,0.62424,0.3836,0.78754,0.99462,1,0.995,0.85297,0.59322,0.44042,0.8722,0.0037135,0.0037135,0.0037135
129,947.264,0.69978,0.41657,0.89281,0.99462,1,0.995,0.85297,0.59322,0.44042,0.8722,0.003664,0.003664,0.003664
130,954.757,0.63884,0.41737,0.88163,0.99462,1,0.995,0.85297,0.59322,0.44042,0.8722,0.0036145,0.0036145,0.0036145
131,962.111,0.48699,0.3778,0.8189,0.99462,1,0.995,0.85297,0.59322,0.44042,0.8722,0.003565,0.003565,0.003565
132,969.542,0.60179,0.36806,0.84062,0.99445,1,0.995,0.90054,0.4842,0.35477,0.82818,0.0035155,0.0035155,0.0035155
133,976.984,0.5616,0.41228,0.85098,0.99445,1,0.995,0.90054,0.4842,0.35477,0.82818,0.003466,0.003466,0.003466
134,984.254,0.59292,0.3542,0.8182,0.99445,1,0.995,0.90054,0.4842,0.35477,0.82818,0.0034165,0.0034165,0.0034165
135,991.414,0.59952,0.3923,0.86426,0.99445,1,0.995,0.90054,0.4842,0.35477,0.82818,0.003367,0.003367,0.003367
136,998.559,0.53313,0.37749,0.83981,0.99472,1,0.995,0.83158,0.65764,0.41242,0.93387,0.0033175,0.0033175,0.0033175
137,1005.84,0.53611,0.32565,0.83804,0.99472,1,0.995,0.83158,0.65764,0.41242,0.93387,0.003268,0.003268,0.003268
138,1014.16,0.58468,0.41187,0.86622,0.99472,1,0.995,0.83158,0.65764,0.41242,0.93387,0.0032185,0.0032185,0.0032185
139,1021.27,0.72698,0.45456,0.8752,0.99472,1,0.995,0.83158,0.65764,0.41242,0.93387,0.003169,0.003169,0.003169
140,1028.5,0.59471,0.40854,0.86325,0.99494,1,0.995,0.85814,0.49081,0.37435,0.86901,0.0031195,0.0031195,0.0031195
141,1035.63,0.49292,0.34945,0.8483,0.99494,1,0.995,0.85814,0.49081,0.37435,0.86901,0.00307,0.00307,0.00307
142,1042.87,0.60485,0.44715,0.89885,0.99494,1,0.995,0.85814,0.49081,0.37435,0.86901,0.0030205,0.0030205,0.0030205
143,1050.03,0.62288,0.39593,0.8526,0.99494,1,0.995,0.85814,0.49081,0.37435,0.86901,0.002971,0.002971,0.002971
144,1057.53,0.61518,0.38696,0.85799,0.99448,1,0.995,0.89221,0.45993,0.34279,0.84619,0.0029215,0.0029215,0.0029215
145,1065.01,0.49836,0.33665,0.82932,0.99448,1,0.995,0.89221,0.45993,0.34279,0.84619,0.002872,0.002872,0.002872
146,1072.37,0.50602,0.3397,0.848,0.99448,1,0.995,0.89221,0.45993,0.34279,0.84619,0.0028225,0.0028225,0.0028225
147,1079.58,0.60493,0.36581,0.84756,0.99448,1,0.995,0.89221,0.45993,0.34279,0.84619,0.002773,0.002773,0.002773
148,1086.99,0.59475,0.41061,0.84222,0.99407,1,0.995,0.89992,0.46886,0.34329,0.8528,0.0027235,0.0027235,0.0027235
149,1094.54,0.5335,0.36301,0.83854,0.99407,1,0.995,0.89992,0.46886,0.34329,0.8528,0.002674,0.002674,0.002674
150,1101.79,0.76259,0.42718,0.90412,0.99407,1,0.995,0.89992,0.46886,0.34329,0.8528,0.0026245,0.0026245,0.0026245
151,1108.99,0.59818,0.37136,0.86985,0.99407,1,0.995,0.89992,0.46886,0.34329,0.8528,0.002575,0.002575,0.002575
152,1116.16,0.53627,0.32995,0.82276,0.99353,1,0.995,0.89463,0.40912,0.33424,0.8219,0.0025255,0.0025255,0.0025255
153,1123.16,0.54011,0.39922,0.92808,0.99353,1,0.995,0.89463,0.40912,0.33424,0.8219,0.002476,0.002476,0.002476
154,1130.18,0.50505,0.34815,0.82465,0.99353,1,0.995,0.89463,0.40912,0.33424,0.8219,0.0024265,0.0024265,0.0024265
